               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049243,            0.015366,                   0,             0.97358,             0.92259,              0.9747,             0.70156,            0.022331,           0.0053241,                   0,            0.070026,           0.0033305,           0.0033305
                   1,             0.03021,            0.009424,                   0,             0.96796,             0.95577,             0.98626,             0.70552,            0.021897,           0.0047459,                   0,             0.03996,           0.0065979,           0.0065979
                   2,             0.02658,           0.0084486,                   0,             0.96419,             0.93049,             0.97588,             0.74031,            0.019602,           0.0046945,                   0,           0.0098276,           0.0097992,           0.0097992
                   3,             0.02297,           0.0080047,                   0,             0.95211,             0.94313,             0.98041,             0.79975,            0.016736,           0.0046765,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.020097,           0.0072954,                   0,             0.98287,             0.90657,              0.9632,             0.80061,            0.015486,            0.005436,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.018608,           0.0069124,                   0,             0.94497,             0.89515,             0.95532,              0.8095,               0.015,           0.0062704,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.017509,           0.0065268,                   0,             0.94526,             0.90025,             0.95656,             0.82169,            0.014601,           0.0060012,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.016737,            0.006246,                   0,             0.96216,             0.84365,             0.92575,             0.80409,            0.014476,           0.0070748,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.016283,            0.006092,                   0,             0.95381,             0.88468,             0.94357,             0.82646,            0.013562,           0.0062685,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.015997,           0.0060547,                   0,             0.96006,             0.87349,             0.93288,             0.79257,            0.015074,           0.0063293,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.015461,           0.0058386,                   0,             0.96489,             0.87046,             0.94087,             0.81954,            0.014178,           0.0062186,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.015092,           0.0057319,                   0,             0.96287,              0.8515,             0.91978,             0.80901,            0.013307,           0.0070789,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.014852,           0.0055519,                   0,             0.96079,             0.84518,             0.91655,              0.8069,            0.014118,            0.006957,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.014367,           0.0054592,                   0,             0.95237,             0.82136,             0.90115,             0.79456,            0.014282,           0.0078958,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.014239,            0.005396,                   0,             0.96242,              0.8357,              0.9037,             0.79282,            0.014376,           0.0076831,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.013931,           0.0053545,                   0,              0.9582,             0.83096,             0.91444,             0.80339,            0.013966,           0.0074176,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.013564,           0.0052534,                   0,             0.96519,             0.82622,             0.91764,             0.80784,            0.013284,           0.0073823,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.013434,           0.0051884,                   0,             0.97371,             0.81926,             0.92049,              0.8157,            0.012924,           0.0070867,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.013583,           0.0051262,                   0,             0.96799,             0.84202,             0.91835,             0.81302,            0.013173,            0.007021,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.013153,           0.0050752,                   0,             0.96834,             0.82143,             0.91523,              0.8104,            0.013335,           0.0076609,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.013203,           0.0050317,                   0,             0.97864,             0.82622,             0.90391,             0.80041,            0.014038,           0.0076673,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.01308,           0.0049629,                   0,              0.9593,              0.8436,             0.91381,             0.81259,            0.013028,           0.0074291,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.012794,           0.0049476,                   0,             0.96445,             0.82938,             0.91384,             0.81255,            0.013264,           0.0072219,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.012486,           0.0048813,                   0,             0.97214,             0.82677,             0.90386,             0.81107,            0.013088,           0.0078461,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.012478,           0.0048218,                   0,             0.96308,             0.82418,             0.90782,             0.81777,            0.012935,           0.0077341,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.012318,           0.0047582,                   0,             0.97831,             0.81201,             0.91002,             0.81123,            0.013243,           0.0077996,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.012243,           0.0047421,                   0,             0.98555,             0.81043,              0.9094,             0.81746,            0.013165,           0.0077336,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.012119,           0.0047093,                   0,             0.97106,             0.82622,             0.91084,             0.81683,            0.013236,           0.0077271,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.012139,           0.0046404,                   0,              0.9721,             0.82571,             0.90275,             0.81333,            0.013305,           0.0080806,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.011748,           0.0045892,                   0,              0.9828,             0.81242,             0.90577,             0.81142,            0.013147,           0.0080664,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.011757,           0.0045809,                   0,             0.97416,             0.81517,              0.9019,             0.81024,            0.013268,           0.0080276,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.011635,           0.0045622,                   0,             0.97559,             0.82095,             0.90589,             0.81255,            0.013141,           0.0078824,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.011482,           0.0045208,                   0,             0.97185,             0.81812,             0.90652,             0.81312,            0.013433,           0.0079634,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.011529,           0.0045206,                   0,             0.96759,             0.81991,             0.90821,             0.81544,            0.013171,           0.0079318,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.011248,           0.0044554,                   0,             0.97211,             0.82148,             0.90429,             0.81533,            0.013372,           0.0081472,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.011409,           0.0044215,                   0,             0.97139,              0.8278,             0.90345,             0.81283,            0.013089,           0.0082101,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.011264,           0.0044183,                   0,             0.98078,             0.81833,             0.90179,              0.8142,             0.01311,           0.0082896,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.01113,           0.0043407,                   0,             0.97762,             0.82148,             0.90184,             0.81573,            0.013229,           0.0082221,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.01108,           0.0043611,                   0,             0.97975,             0.82464,             0.90241,             0.81612,            0.013242,            0.008246,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.010926,           0.0043139,                   0,             0.97613,             0.81833,             0.90429,             0.81616,            0.013235,           0.0082604,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.01075,           0.0042146,                   0,              0.9711,             0.81991,             0.90306,             0.81393,            0.013491,           0.0083524,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.010735,             0.00425,                   0,             0.97191,             0.81983,             0.90256,             0.81435,            0.013457,           0.0083064,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.010683,           0.0042323,                   0,             0.97205,             0.82419,               0.901,             0.81288,            0.013486,           0.0083389,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.010627,           0.0041653,                   0,             0.97319,             0.82464,             0.90073,             0.81305,            0.013522,           0.0083176,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.010392,           0.0041305,                   0,             0.97214,             0.82682,             0.90365,              0.8133,            0.013445,            0.008293,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.010407,             0.00407,                   0,             0.96838,             0.82464,             0.90465,             0.81355,            0.013395,           0.0083267,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.01028,           0.0041051,                   0,             0.97008,             0.82306,             0.90655,             0.81499,            0.013406,           0.0082606,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.010313,            0.004078,                   0,             0.96842,             0.82306,              0.9039,             0.81389,            0.013393,           0.0083122,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.010042,            0.004061,                   0,             0.96773,             0.82306,             0.90331,             0.81344,            0.013344,           0.0083122,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.010027,           0.0040294,                   0,             0.97042,             0.82306,             0.90111,             0.81338,            0.013398,           0.0083565,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.010011,           0.0039757,                   0,             0.97016,             0.82185,             0.90071,             0.81387,            0.013513,           0.0084004,                   0,            0.005149,            0.005149,            0.005149
                  51,           0.0099677,           0.0039873,                   0,             0.97015,             0.82162,             0.89971,             0.81357,            0.013509,           0.0084147,                   0,             0.00505,             0.00505,             0.00505
                  52,           0.0098787,           0.0039164,                   0,             0.97013,              0.8209,              0.8994,             0.81321,            0.013527,           0.0084096,                   0,            0.004951,            0.004951,            0.004951
                  53,           0.0098119,           0.0039162,                   0,             0.97225,             0.81833,             0.90111,             0.81511,            0.013511,            0.008413,                   0,            0.004852,            0.004852,            0.004852
                  54,           0.0094849,           0.0038365,                   0,             0.97736,             0.81824,             0.90168,             0.81652,            0.013501,           0.0084082,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.00961,           0.0038795,                   0,              0.9753,             0.81833,             0.90186,             0.81576,             0.01349,           0.0084054,                   0,            0.004654,            0.004654,            0.004654
                  56,           0.0095274,           0.0038266,                   0,             0.97474,             0.81833,             0.90117,             0.81503,            0.013536,           0.0084225,                   0,            0.004555,            0.004555,            0.004555
                  57,           0.0094286,           0.0038063,                   0,             0.97514,             0.81833,             0.90096,             0.81508,            0.013569,           0.0084359,                   0,            0.004456,            0.004456,            0.004456
                  58,           0.0093397,           0.0037522,                   0,             0.97551,             0.81819,             0.90118,             0.81546,            0.013587,           0.0084306,                   0,            0.004357,            0.004357,            0.004357
                  59,           0.0092329,           0.0037748,                   0,             0.97552,             0.81832,             0.90066,             0.81597,             0.01358,           0.0084365,                   0,            0.004258,            0.004258,            0.004258
                  60,           0.0092354,           0.0037417,                   0,             0.97447,             0.82148,             0.90075,             0.81554,            0.013584,           0.0084604,                   0,            0.004159,            0.004159,            0.004159
                  61,              0.0092,            0.003726,                   0,             0.97362,             0.82148,             0.89994,             0.81468,            0.013581,           0.0084707,                   0,             0.00406,             0.00406,             0.00406
                  62,           0.0090486,           0.0036913,                   0,             0.97378,              0.8213,              0.8996,             0.81451,            0.013599,           0.0084799,                   0,            0.003961,            0.003961,            0.003961
                  63,           0.0090438,           0.0036606,                   0,             0.97376,             0.82084,             0.89944,             0.81519,            0.013622,           0.0084879,                   0,            0.003862,            0.003862,            0.003862
                  64,           0.0089179,            0.003651,                   0,             0.97301,             0.81991,              0.8993,             0.81505,            0.013648,           0.0084849,                   0,            0.003763,            0.003763,            0.003763
                  65,           0.0088107,           0.0036361,                   0,              0.9735,             0.81991,              0.8979,             0.81429,            0.013674,           0.0084907,                   0,            0.003664,            0.003664,            0.003664
                  66,           0.0087801,           0.0035802,                   0,             0.97552,             0.81853,             0.89739,              0.8145,            0.013702,              0.0085,                   0,            0.003565,            0.003565,            0.003565
                  67,           0.0085592,           0.0035228,                   0,             0.97547,              0.8167,             0.89756,             0.81463,            0.013731,            0.008513,                   0,            0.003466,            0.003466,            0.003466
                  68,           0.0085512,           0.0035152,                   0,             0.97547,             0.81672,             0.89796,             0.81578,            0.013739,           0.0085098,                   0,            0.003367,            0.003367,            0.003367
                  69,           0.0084947,           0.0034706,                   0,             0.97547,             0.81659,             0.89812,             0.81666,            0.013761,           0.0085192,                   0,            0.003268,            0.003268,            0.003268
                  70,           0.0082646,           0.0034111,                   0,             0.97546,             0.81648,             0.89899,             0.81809,            0.013755,           0.0085207,                   0,            0.003169,            0.003169,            0.003169
                  71,           0.0081902,           0.0033705,                   0,             0.97546,              0.8162,             0.89934,             0.81803,            0.013736,           0.0085241,                   0,             0.00307,             0.00307,             0.00307
                  72,           0.0081228,           0.0033685,                   0,             0.97545,             0.81608,             0.90012,             0.81943,             0.01374,           0.0085366,                   0,            0.002971,            0.002971,            0.002971
                  73,           0.0081093,           0.0033583,                   0,             0.97911,             0.81438,             0.89914,             0.81921,            0.013728,           0.0085527,                   0,            0.002872,            0.002872,            0.002872
                  74,           0.0080104,           0.0033179,                   0,             0.97543,             0.81541,             0.89754,             0.81795,            0.013739,            0.008575,                   0,            0.002773,            0.002773,            0.002773
                  75,           0.0078282,           0.0032989,                   0,             0.97856,             0.81359,             0.89677,              0.8174,            0.013724,           0.0085859,                   0,            0.002674,            0.002674,            0.002674
                  76,              0.0078,           0.0032702,                   0,             0.97897,             0.81359,             0.89608,             0.81691,            0.013726,           0.0086024,                   0,            0.002575,            0.002575,            0.002575
                  77,           0.0077718,           0.0032113,                   0,             0.97908,             0.81344,             0.89641,             0.81682,            0.013715,           0.0086122,                   0,            0.002476,            0.002476,            0.002476
                  78,           0.0076222,           0.0031751,                   0,             0.97908,             0.81332,             0.89558,             0.81697,            0.013713,           0.0086218,                   0,            0.002377,            0.002377,            0.002377
                  79,           0.0075482,           0.0031541,                   0,             0.97909,             0.81354,             0.89495,             0.81642,            0.013718,           0.0086352,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0075265,           0.0031339,                   0,             0.97909,             0.81362,             0.89456,             0.81617,            0.013723,            0.008644,                   0,            0.002179,            0.002179,            0.002179
                  81,           0.0074234,           0.0031345,                   0,             0.98125,             0.81201,             0.89427,             0.81724,             0.01373,            0.008655,                   0,             0.00208,             0.00208,             0.00208
                  82,           0.0073602,           0.0030889,                   0,             0.98104,             0.81201,             0.89356,             0.81764,             0.01374,           0.0086611,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0072594,           0.0030557,                   0,             0.98115,             0.81201,             0.89291,             0.81762,            0.013755,           0.0086676,                   0,            0.001882,            0.001882,            0.001882
                  84,           0.0070469,           0.0029833,                   0,             0.98135,             0.81201,             0.89401,             0.81747,            0.013763,            0.008674,                   0,            0.001783,            0.001783,            0.001783
                  85,           0.0070306,           0.0029909,                   0,             0.98094,             0.81289,             0.89438,             0.81811,            0.013765,            0.008677,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.00694,           0.0029505,                   0,             0.98237,             0.81201,             0.89465,              0.8191,            0.013767,           0.0086803,                   0,            0.001585,            0.001585,            0.001585
                  87,           0.0068028,           0.0029172,                   0,             0.98281,             0.81201,             0.89477,             0.81918,            0.013771,           0.0086819,                   0,            0.001486,            0.001486,            0.001486
                  88,           0.0067754,            0.002891,                   0,             0.98348,             0.81201,              0.8948,             0.81912,            0.013772,           0.0086838,                   0,            0.001387,            0.001387,            0.001387
                  89,           0.0065452,           0.0028356,                   0,             0.98362,             0.81201,             0.89438,             0.81982,            0.013779,           0.0086946,                   0,            0.001288,            0.001288,            0.001288
                  90,           0.0065644,           0.0028564,                   0,              0.9837,             0.81201,             0.89448,             0.81988,            0.013782,           0.0087035,                   0,            0.001189,            0.001189,            0.001189
                  91,           0.0064726,            0.002777,                   0,             0.98382,             0.81201,             0.89475,             0.82059,            0.013783,           0.0087069,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0063816,           0.0027791,                   0,             0.98392,             0.81201,             0.89408,             0.81971,            0.013797,           0.0087155,                   0,            0.000991,            0.000991,            0.000991
                  93,           0.0062302,           0.0026729,                   0,             0.98406,             0.81201,             0.89349,             0.82009,            0.013814,           0.0087262,                   0,            0.000892,            0.000892,            0.000892
                  94,           0.0062257,           0.0026965,                   0,             0.98412,             0.81201,             0.89423,             0.82084,            0.013814,           0.0087317,                   0,            0.000793,            0.000793,            0.000793
                  95,           0.0061198,           0.0026741,                   0,             0.98408,             0.81201,             0.89447,             0.82072,            0.013811,           0.0087391,                   0,            0.000694,            0.000694,            0.000694
                  96,           0.0060432,           0.0026293,                   0,              0.9841,             0.81201,             0.89446,             0.82197,             0.01381,           0.0087457,                   0,            0.000595,            0.000595,            0.000595
                  97,           0.0059131,           0.0026163,                   0,             0.98411,             0.81201,             0.89384,             0.82106,              0.0138,           0.0087504,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0058523,           0.0025939,                   0,             0.98226,             0.81043,             0.89331,              0.8205,              0.0138,           0.0087539,                   0,            0.000397,            0.000397,            0.000397
                  99,           0.0057431,           0.0025535,                   0,             0.98234,             0.81043,             0.89354,              0.8214,            0.013802,           0.0087613,                   0,            0.000298,            0.000298,            0.000298
